ast,blk,dreb,fg3a,fg3m,fg_pct,fga,fgm,fta,ftm,id,pf,pts,reb,stl,turnover,game_id,home_team_id,home_team_score,visitor_team_id,visitor_team_score,season,player_id,team_id,team_score,min_played,eFG%,TS%,oreb,PER
2,0,7,0,0,0.667,6,4,4,4,582,3,12,13,1,3,22,17,118,12,101,2018,406,12,101,22.166666666666668,66.66666666666666,77.31958762886599,6,2.2556390977443606
1,1,7,0,0,0.667,3,2,2,2,20590,5,6,10,0,1,864,10,113,9,110,1990,620,10,113,25.0,66.66666666666666,77.31958762886599,3,1.46
1,1,1,0,0,0.6,5,3,2,1,63168,6,7,1,2,1,1725,24,151,25,153,1991,556,24,151,20.0,60.0,59.523809523809526,0,0.525
1,0,0,2,0,0.417,12,5,2,2,73640,4,12,0,0,1,3647,20,114,4,91,1992,560,20,114,19.0,41.66666666666667,46.58385093167702,0,0.2894736842105263
1,0,2,0,0,0.0,3,0,2,1,85149,2,1,3,0,0,2424,25,105,27,101,1992,632,25,105,7.0,0.0,12.886597938144332,1,1.0714285714285714
0,0,0,0,0,0.333,3,1,2,2,108165,2,4,3,1,0,3693,29,128,13,104,1993,747,29,128,3.0,33.33333333333333,51.54639175257733,3,4.0
2,0,6,4,2,0.6,10,6,0,0,443492,2,14,6,1,3,19911,25,99,14,93,2005,1411,14,93,41.0,70.0,70.0,0,0.7073170731707318
0,0,0,0,0,0.0,1,0,0,0,443542,4,0,0,0,1,18422,18,100,3,90,2005,1112,3,90,10.0,0.0,0.0,0,-0.2
0,0,3,6,3,0.444,9,4,0,0,443813,2,11,4,0,1,20483,7,90,4,76,2005,1215,4,76,28.0,61.111111111111114,61.111111111111114,1,0.6071428571428571
0,0,0,1,0,0.6,5,3,1,1,445700,0,7,0,0,0,18252,15,102,4,95,2005,1504,4,95,13.816666666666666,60.0,64.33823529411764,0,0.3618817852834741
1,4,7,0,0,0.455,11,5,3,1,453952,6,11,7,1,2,19647,13,91,24,94,2005,1499,13,91,34.0,45.45454545454545,44.64285714285714,0,0.8382352941176471
3,1,14,5,0,0.485,33,16,6,4,454086,4,36,20,0,1,19651,24,125,13,118,2005,1226,24,125,54.61666666666667,48.484848484848484,50.505050505050505,6,1.4922184925236497
0,0,2,2,1,0.667,15,10,10,9,455233,1,30,5,3,1,19662,5,88,26,89,2006,1530,26,89,44.983333333333334,70.0,77.31958762886599,3,0.9114486846980363
