id,first_name,last_name,position,team_id
778,Jay,Guidinger,,6
788,Dexter,Cambridge,,7
829,Eric,Riley,,11
1115,Jeff,Nordgaard,,17
1257,Chris,Herren,,8
1316,Garth,Joseph,,28
1589,Pavel,Podkolzin,,7
1610,Daniel,Ewing,,13
1723,Josh,Boone,,3
1870,Reggie,Williams,,10
1896,Cole,Aldrich,,21
1989,Royce,White,,11
2021,Darius,Johnson-Odom,,14
2231,Rodney,Purvis,,22
2360,Garfield,Heard,,24
2842,Jeff,Lebo,,27
84,DeMarre,Carroll,F,11
4196800,Rashard,Griffith,C,22
4197029,Vasilije,Micic,G,21
318,Paul,Millsap,F,23
46391335,Howie,Rader,,45
46395039,Hal,Uplinger,,45
46409049,Al,Carlson,,21
46401264,Charles,Nash,,10
17896055,Scottie,Barnes,G-F,28
546,Willie,Burton,,16
936,Loren,Meyer,,7
1178,Toby,Bailey,,24
1710,Andreas,Glyniadakis,,21
1768,Brandan,Wright,,10
2089,Cameron,Bairstow,,5
2380,Mike,Green,,26
2381,Otis,Birdsong,,26
2423,Mark,Landsberger,,5
2553,Ron,Valentine,,8
4196811,Venson,Hamilton,C-F,11
17553971,Marcus,Graves,G,26
17553980,Princepal,Singh,F,26
294,Ian,Mahinmi,C,30
9530711,Gabriel,Deck,,21
107,DeMarcus,Cousins,C,8
46394526,Bob,Houbregs,,45
46396613,Bob,Armstrong,,10
46409548,Ken,Mayfield,,20
666965,Grant,Williams,F,2
17553988,Jeff,Dowtin,G,28
46408522,Daniel,Anderson,,25
112,Jae,Crowder,F,17
18677954,Jared,Butler,G,21
1558,Nenad,Krstic,,3
1734,Jeremy,Richardson,,1
1830,Cartier,Martin,,4
1869,Antonio,Anderson,,21
2370,Jojo,White,,10
2918,Eric,Leckner,,26
2935,Will,Perdue,,5
3058,Tim,Legler,,8
63,Isaiah,Briscoe,G,22
4196944,Adam,Hanga,G-F,27
17553985,Romaro,Gill,C,14
208,Mario,Hezonja,F,25
17896115,Amar,Sylla,F,22
350,David,Nwaba,G,21
46390224,Buddy,Jeannette,,45
46389699,Clarence,Hermsen,,41
46390801,Matt,Zunic,,42
46393482,Neil,Johnston,,10
46399191,Cleo,Hill,,1
46409564,Joe,Pace,,30
46393989,John,McConathy,,1
3547302,Anthony,Gill,F,30
46402262,Dave,Stallworth,,20
46408532,Jerome,Anderson,,2
46403288,Jim,Ware,,26
1105,Ed,Gray,,1
1262,A.J.,Bramlett,,6
